Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
51,0.7324,0.8545,-0.6714,-0.1465,0.9829,-0.0825,131.6339,-157.5042,-65.7166
52,0.7935,0.7935,-0.7324,-0.145,0.9839,-0.084,139.3771,-155.2215,-46.9404
53,0.7935,0.7935,-0.8545,-0.1436,0.9849,-0.0859,145.1845,-156.3628,-50.0698
54,0.8545,0.6104,-0.7935,-0.1436,0.9858,-0.0845,145.1845,-156.3628,-50.0698
55,0.9155,0.4272,-0.8545,-0.1431,0.9854,-0.0864,150.9918,-157.5042,-65.7166
56,1.0376,0.3662,-0.8545,-0.1436,0.9863,-0.0859,149.0561,-147.2321,-62.5872
57,1.1597,0.2441,-0.7324,-0.1445,0.9863,-0.0864,158.735,-150.6561,-53.1991
58,1.2817,0.0,-0.7324,-0.1445,0.9858,-0.0859,158.735,-150.6561,-53.1991
59,1.3428,-0.2441,-0.6104,-0.145,0.9858,-0.083,156.7992,-156.3628,-50.0698
60,1.3428,-0.3052,-0.6104,-0.1465,0.9834,-0.0835,150.9918,-152.9388,-65.7166
61,1.2817,-0.3052,-0.7324,-0.1484,0.9814,-0.085,150.9918,-152.9388,-65.7166
62,1.4038,-0.4272,-0.8545,-0.1479,0.9819,-0.0845,139.3771,-152.9388,-53.1991
63,1.4038,-0.4272,-0.8545,-0.1475,0.9863,-0.0879,160.6708,-154.0801,-6.2587
64,1.5259,-0.4272,-0.6714,-0.1484,0.9858,-0.084,145.1845,-151.7975,-43.8111
65,1.5259,-0.4272,-0.7324,-0.1484,0.9883,-0.0879,145.1845,-151.7975,-43.8111
66,1.4648,-0.3662,-0.7324,-0.1479,0.9854,-0.0889,127.7624,-148.3735,-59.4579
67,1.4038,-0.3662,-0.6104,-0.1489,0.9829,-0.083,158.735,-148.3735,-53.1991
68,1.4038,-0.3052,-0.6104,-0.1479,0.9814,-0.0811,158.735,-148.3735,-53.1991
69,1.3428,-0.2441,-0.6714,-0.147,0.981,-0.084,141.3129,-151.7975,-25.0349
70,1.3428,-0.1831,-0.6714,-0.1504,0.9805,-0.0815,160.6708,-160.9281,-75.1047
71,1.2207,-0.061,-0.7324,-0.1519,0.9814,-0.0835,158.735,-152.9388,-46.9404
72,1.2207,-0.061,-0.7324,-0.1533,0.9849,-0.0874,158.735,-152.9388,-46.9404
73,1.1597,0.061,-0.6104,-0.1538,0.9888,-0.085,141.3129,-149.5148,-50.0698
74,1.0376,0.2441,-0.4272,-0.1533,0.9863,-0.0815,154.8634,-143.8081,-53.1991
75,1.0376,0.1831,-0.3662,-0.1528,0.9829,-0.0811,154.8634,-143.8081,-53.1991
76,1.0986,0.1831,-0.2441,-0.1519,0.9814,-0.0811,139.3771,-155.2215,-53.1991
77,0.7935,0.2441,-0.4272,-0.1504,0.9829,-0.0811,154.8634,-152.9388,-53.1991
78,0.7935,0.1831,-0.3662,-0.1519,0.9834,-0.0791,137.4413,-156.3628,-37.5523
79,0.7324,0.1831,-0.3052,-0.1509,0.9873,-0.082,137.4413,-156.3628,-37.5523
80,0.8545,0.1221,-0.1831,-0.1499,0.9907,-0.0796,150.9918,-150.6561,-34.423
