Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
2459,1.709,-16.9067,-29.541,-0.2383,0.8481,-0.1689,-27.1011,-132.3948,-341.1004
2460,-0.6104,-11.7187,-28.3813,-0.2285,0.8379,-0.1157,-27.1011,-132.3948,-341.1004
2461,-8.4839,-3.54,-26.7944,-0.2402,0.8184,-0.0518,-25.1653,-126.6881,-325.4536
2462,-12.6953,-0.9155,-26.9775,-0.2534,0.8345,-0.0576,-30.9727,-125.5468,-322.3242
2463,-18.1885,2.0752,-29.1138,-0.2485,0.9219,-0.1206,-23.2295,-134.6774,-316.0655
2464,-18.5547,2.9907,-30.4565,-0.2207,0.9819,-0.1602,-36.7801,-131.2534,-331.7123
2465,-14.4043,3.9673,-31.9214,-0.127,1.0918,-0.1772,-36.7801,-131.2534,-331.7123
2466,-11.2305,3.7231,-31.311,-0.0864,1.1182,-0.1572,-23.2295,-130.1121,-328.5829
2467,-6.4697,1.2817,-29.0527,-0.0522,1.0991,-0.0913,-42.5874,-127.8294,-334.8416
2468,-5.5542,-0.7324,-27.9541,-0.0547,1.0771,-0.0757,-23.2295,-132.3948,-328.5829
2469,-5.5542,-4.5776,-27.0386,-0.0723,1.0288,-0.1035,-23.2295,-132.3948,-328.5829
2470,-6.1646,-5.6763,-27.2827,-0.0781,1.0059,-0.126,-34.8443,-116.4161,-309.8068
2471,-8.1177,-5.6763,-29.1138,-0.1099,0.9551,-0.2109,-36.7801,-126.6881,-325.4536
2472,-9.2773,-4.6387,-30.1514,-0.145,0.9487,-0.2451,-46.459,-125.5468,-328.5829
2473,-11.1694,-1.77,-31.0669,-0.2568,0.9897,-0.271,-46.459,-125.5468,-328.5829
2474,-11.4136,0.6714,-30.7617,-0.3071,1.0054,-0.2803,-40.6516,-124.4054,-337.971
2475,-11.4746,5.6152,-30.8228,-0.3599,0.98,-0.2935,-48.3948,-128.9708,-319.1949
2476,-11.4136,7.5073,-30.6396,-0.3643,0.9648,-0.2847,-32.9085,-131.2534,-344.2297
2477,-10.5591,7.8735,-29.1748,-0.3462,0.9517,-0.2148,-32.9085,-131.2534,-344.2297
2478,-9.5825,5.4932,-28.1372,-0.3267,0.9575,-0.167,-40.6516,-140.3841,-344.2297
2479,-7.3853,-3.0518,-25.4517,-0.2988,0.9829,-0.1118,-61.9454,-136.9601,-322.3242
2480,-6.5308,-8.2397,-23.6206,-0.2896,0.9941,-0.1001,-63.8812,-122.1228,-325.4536
2481,-5.7373,-17.9443,-19.5313,-0.2881,1.001,-0.106,-63.8812,-122.1228,-325.4536
2482,-6.0425,-21.7896,-17.4561,-0.3042,1.0005,-0.1221,-29.0369,-135.8188,-331.7123
2483,-6.897,-25.5127,-14.3433,-0.3423,0.9746,-0.1792,-46.459,-134.6774,-341.1004
2484,-7.4463,-25.2686,-13.3057,-0.3599,0.9565,-0.2119,-48.3948,-133.5361,-306.6774
2485,-8.606,-21.0571,-12.3291,-0.3726,0.9263,-0.2578,-54.2022,-130.1121,-328.5829
2486,-9.0332,-17.8833,-12.4512,-0.3662,0.9097,-0.269,-54.2022,-130.1121,-328.5829
2487,-10.6812,-10.8032,-13.916,-0.3115,0.8892,-0.2734,-54.2022,-136.9601,-341.1004
2488,-11.5356,-7.9956,-14.9536,-0.2627,0.8882,-0.2686,-46.459,-127.8294,-316.0655
2489,-12.6343,-4.7607,-16.7847,-0.1592,0.9087,-0.2578,-58.0738,-123.2641,-359.8765
2490,-12.7563,-4.3945,-17.2119,-0.1113,0.9185,-0.2422,-58.0738,-123.2641,-359.8765
2491,-12.8174,-6.1035,-17.5781,-0.0527,0.9307,-0.2324,-36.7801,-131.2534,-306.6774
2492,-12.5732,-7.5073,-17.4561,-0.0518,0.936,-0.2285,-54.2022,-132.3948,-341.1004
2493,-12.146,-10.6201,-17.2119,-0.0859,0.9434,-0.2095,-46.459,-141.5255,-334.8416
2494,-12.0239,-12.085,-17.334,-0.1128,0.9448,-0.2002,-77.4317,-134.6774,-316.0655
2495,-11.6577,-13.5498,-18.1885,-0.1709,0.9448,-0.1929,-77.4317,-134.6774,-316.0655
2496,-11.5356,-13.5498,-18.4326,-0.1958,0.9409,-0.1851,-69.6885,-125.5468,-334.8416
2497,-11.5967,-12.5122,-18.9209,-0.2319,0.9253,-0.1587,-56.138,-144.9495,-337.971
2498,-12.207,-11.6577,-19.043,-0.2515,0.9229,-0.1514,-58.0738,-132.3948,-353.6178
2499,-12.8784,-9.3994,-19.2261,-0.2798,0.9307,-0.125,-58.0738,-132.3948,-353.6178
2500,-12.9395,-8.4839,-19.2871,-0.2842,0.9233,-0.123,-58.0738,-139.2428,-353.6178
2501,-13.1836,-6.897,-19.8364,-0.2896,0.916,-0.1235,-63.8812,-131.2534,-356.7472
2502,-13.1226,-6.4697,-20.0195,-0.29,0.9258,-0.1226,-52.2664,-133.5361,-337.971
2503,-12.6953,-6.0425,-20.2637,-0.2847,0.9482,-0.1069,-52.2664,-133.5361,-337.971
2504,-12.3901,-5.7373,-20.2026,-0.2764,0.9561,-0.1001,-58.0738,-139.2428,-359.8765
2505,-12.0239,-5.3711,-19.8975,-0.2734,0.9609,-0.1025,-56.138,-128.9708,-363.0059
2506,-11.7187,-5.188,-19.5313,-0.2759,0.959,-0.1035,-63.8812,-128.9708,-350.4885
2507,-11.3525,-5.188,-18.6157,-0.2935,0.9526,-0.103,-71.6243,-131.2534,-337.971
2508,-11.2915,-5.249,-18.3716,-0.2988,0.9473,-0.1025,-71.6243,-131.2534,-337.971
2509,-11.6577,-4.8218,-18.3716,-0.3105,0.937,-0.1216,-63.8812,-142.6668,-350.4885
2510,-11.9019,-4.4556,-18.4937,-0.312,0.9375,-0.1309,-69.6885,-134.6774,-353.6178
2511,-12.207,-3.479,-18.2495,-0.3154,0.937,-0.1455,-79.3675,-128.9708,-369.2646
2512,-12.085,-2.4414,-18.1885,-0.3125,0.9438,-0.1514,-79.3675,-128.9708,-369.2646
2513,-11.7798,-2.3804,-18.3105,-0.3071,0.9473,-0.1479,-73.5601,-134.6774,-359.8765
2514,-10.8643,-3.6621,-18.4326,-0.2754,0.9551,-0.1226,-75.4959,-138.1015,-350.4885
2515,-10.6201,-5.0049,-18.5547,-0.2559,0.9521,-0.1187,-73.5601,-132.3948,-378.6526
2516,-10.8643,-8.728,-18.1885,-0.2383,0.9595,-0.1167,-73.5601,-130.1121,-347.3591
2517,-10.9863,-10.6201,-17.5781,-0.2344,0.9639,-0.1152,-73.5601,-130.1121,-347.3591
2518,-11.2915,-14.0991,-16.9678,-0.2373,0.959,-0.124,-56.138,-131.2534,-375.5233
2519,-11.2305,-15.4419,-17.0288,-0.2378,0.9531,-0.1299,-69.6885,-136.9601,-353.6178
2520,-11.2915,-17.7612,-17.4561,-0.2261,0.9385,-0.1401,-87.1107,-128.9708,-344.2297
2521,-11.4746,-19.043,-17.9443,-0.2187,0.9424,-0.1406,-87.1107,-128.9708,-344.2297
2522,-12.3901,-21.6675,-18.9209,-0.1958,0.958,-0.1353,-73.5601,-139.2428,-378.6526
2523,-12.8174,-22.7051,-19.4092,-0.1885,0.9673,-0.1372,-69.6885,-136.9601,-391.1701
2524,-13.9771,-24.5361,-19.8364,-0.1821,0.9722,-0.1636,-73.5601,-134.6774,-341.1004
2525,-14.6484,-25.0244,-20.0195,-0.1929,0.9658,-0.1821,-85.1749,-130.1121,-372.394
2526,-15.8691,-24.4751,-20.5078,-0.2251,0.9277,-0.2134,-85.1749,-130.1121,-372.394
2527,-16.4185,-23.9258,-21.3623,-0.2432,0.9072,-0.2334,-77.4317,-130.1121,-372.394
2528,-18.1885,-23.0103,-23.4375,-0.2524,0.9004,-0.2363,-77.4317,-125.5468,-378.6526
2529,-19.2261,-22.7051,-24.5972,-0.2471,0.9019,-0.2324,-65.8169,-132.3948,-359.8765
2530,-20.813,-23.1934,-27.1606,-0.2124,0.9209,-0.2129,-65.8169,-132.3948,-359.8765
2531,-21.3623,-23.9868,-28.1372,-0.186,0.9243,-0.1948,-75.4959,-142.6668,-375.5233
2532,-21.9116,-27.3438,-29.6021,-0.1357,0.9268,-0.1567,-87.1107,-119.8401,-381.782
2533,-22.4609,-33.2642,-30.9448,-0.1123,0.9243,-0.1436,-92.918,-125.5468,-391.1701
2534,-22.644,-36.6821,-31.5552,-0.1113,0.9233,-0.1367,-94.8538,-133.5361,-388.0407
2535,-22.9492,-43.5791,-32.3486,-0.125,0.9268,-0.1226,-94.8538,-133.5361,-388.0407
2536,-23.3765,-46.936,-32.7148,-0.1333,0.9263,-0.1167,-94.8538,-131.2534,-356.7472
2537,-25.1465,-52.063,-34.2407,-0.1494,0.937,-0.1255,-77.4317,-132.3948,-378.6526
2538,-26.2451,-53.7109,-34.9731,-0.1514,0.9424,-0.1265,-92.918,-120.9814,-378.6526
2539,-28.1372,-55.2979,-36.0718,-0.1797,0.9375,-0.1616,-92.918,-120.9814,-378.6526
2540,-29.7241,-55.3589,-36.3159,-0.2075,0.9243,-0.1919,-96.7896,-123.2641,-391.1701
2541,-33.9355,-54.7485,-36.8652,-0.2827,0.9175,-0.2334,-83.2391,-128.9708,-381.782
2542,-35.7666,-54.3213,-37.7808,-0.3188,0.9316,-0.2432,-100.6612,-125.5468,-409.9463
2543,-38.269,-53.2837,-41.9922,-0.3462,0.9834,-0.2319,-98.7254,-128.9708,-419.3344
2544,-38.3911,-52.4902,-44.9219,-0.3271,1.0088,-0.2173,-98.7254,-128.9708,-419.3344
2545,-37.6587,-51.7578,-49.8047,-0.2231,1.0186,-0.1616,-102.597,-117.5574,-419.3344
2546,-37.5977,-52.6123,-51.2695,-0.165,1.001,-0.1357,-116.1476,-123.2641,-397.4288
2547,-40.1611,-57.7393,-52.002,-0.1182,0.9888,-0.1089,-96.7896,-123.2641,-416.205
2548,-45.7153,-65.1245,-50.9033,-0.187,1.0371,-0.1294,-96.7896,-123.2641,-416.205
2549,-47.9736,-68.1152,-50.5371,-0.2466,1.083,-0.1465,-89.0465,-118.6988,-409.9463
2550,-50.415,-70.3125,-51.5137,-0.3364,1.1777,-0.1821,-106.4686,-124.4054,-425.5931
2551,-51.1475,-69.3359,-52.5513,-0.3608,1.2085,-0.1948,-106.4686,-112.9921,-413.0756
2552,-51.9409,-63.9648,-55.7251,-0.3403,1.2656,-0.1641,-121.9549,-119.8401,-438.1105
2553,-52.063,-60.73,-57.5562,-0.3027,1.2988,-0.1353,-121.9549,-119.8401,-438.1105
2554,-52.6733,-54.5044,-61.0962,-0.1963,1.3267,-0.0645,-127.7623,-109.5681,-409.9463
2555,-53.5278,-51.8188,-62.6831,-0.1445,1.3267,-0.043,-125.8265,-119.8401,-450.628
2556,-54.3823,-47.3022,-65.4907,-0.0576,1.2988,-0.0239,-123.8907,-120.9814,-428.7225
2557,-54.3823,-45.7764,-66.6504,-0.0244,1.2705,-0.0229,-137.4413,-124.4054,-419.3344
2558,-54.0771,-42.7856,-68.6646,-0.0083,1.2046,-0.0361,-137.4413,-124.4054,-419.3344
2559,-54.3213,-40.1001,-69.397,-0.0425,1.1499,-0.0312,-133.5697,-115.2748,-438.1105
2560,-54.9316,-38.7573,-69.519,-0.0698,1.1221,-0.0386,-139.3771,-116.4161,-434.9812
2561,-57.312,-36.0107,-69.5801,-0.1362,1.0776,-0.0547,-143.2487,-114.1334,-422.4637
2562,-59.021,-34.6069,-69.2139,-0.1729,1.0532,-0.0684,-143.2487,-114.1334,-422.4637
2563,-61.8286,-30.8228,-67.0776,-0.2441,0.9917,-0.106,-139.3771,-111.8508,-434.9812
2564,-62.6221,-28.1982,-65.0024,-0.2764,0.9688,-0.1113,-129.6981,-115.2748,-438.1105
2565,-64.27,-21.3013,-59.2651,-0.3936,0.9336,-0.1558,-145.1845,-108.4268,-438.1105
2566,-63.5986,-16.2354,-56.3965,-0.4336,0.8867,-0.1558,-162.6066,-109.5681,-441.2399
2567,-56.5796,-7.6904,-52.3071,-0.5107,0.7969,-0.0957,-162.6066,-109.5681,-441.2399
2568,-53.5278,-6.1646,-50.5981,-0.5576,0.8008,-0.043,-160.6708,-112.9921,-444.3693
2569,-44.6777,-5.7373,-44.1895,-0.6719,0.8477,0.0479,-156.7992,-108.4268,-425.5931
2570,-37.9639,-6.1035,-40.2832,-0.7124,0.8438,0.0903,-172.2856,-108.4268,-450.628
2571,-23.3154,-7.6294,-36.377,-0.7666,0.7886,0.1567,-168.414,-101.5788,-438.1105
2572,-12.6953,-11.1084,-37.6587,-0.8042,0.7437,0.2124,-168.414,-101.5788,-438.1105
2573,-10.3149,-13.5498,-38.9404,-0.8145,0.7153,0.2505,-164.5424,-94.7307,-456.8867
2574,-8.0566,-19.104,-41.9312,-0.8379,0.7002,0.3018,-170.3498,-105.0028,-460.0161
2575,-6.6528,-21.5454,-42.2363,-0.8394,0.6914,0.3345,-178.0929,-102.7201,-460.0161
2576,-6.4087,-25.3906,-40.6494,-0.8652,0.7207,0.3511,-178.0929,-102.7201,-460.0161
2577,-7.6294,-25.4517,-38.5742,-0.8657,0.7153,0.3765,-174.2213,-93.5894,-434.9812
2578,-9.0942,-24.7803,-34.5459,-0.8325,0.6655,0.417,-172.2856,-97.0134,-431.8518
2579,-10.9253,-24.6582,-32.7148,-0.7939,0.6572,0.4316,-172.2856,-99.2961,-444.3693
2580,-16.2964,-23.2544,-26.4893,-0.709,0.6841,0.3711,-172.2856,-99.2961,-444.3693
2581,-19.9585,-20.5688,-21.5454,-0.6694,0.7124,0.3081,-174.2213,-98.1548,-434.9812
2582,-26.3672,-12.0239,-9.0332,-0.6177,0.7666,0.1738,-172.2856,-99.2961,-444.3693
2583,-27.9541,-6.8359,-2.1973,-0.6182,0.7881,0.1118,-174.2213,-93.5894,-434.9812
2584,-23.6206,4.1504,11.1084,-0.6494,0.8062,0.0078,-174.2213,-93.5894,-434.9812
2585,-17.1509,10.1929,16.9678,-0.6787,0.8042,-0.0459,-197.4509,-91.3067,-441.2399
2586,1.0986,23.3765,26.1841,-0.7383,0.7949,-0.0703,-195.5151,-90.1654,-419.3344
2587,11.4136,30.3955,29.4189,-0.7725,0.7993,-0.0684,-187.7719,-92.4481,-425.5931
2588,20.752,37.4146,32.5928,-0.7896,0.8184,-0.0352,-187.7719,-92.4481,-425.5931
2589,37.2925,49.2554,39.3066,-0.7725,0.8047,0.0967,-168.414,-97.0134,-419.3344
2590,43.457,52.9175,42.2363,-0.7451,0.7891,0.1558,-181.9645,-98.1548,-428.7225
2591,51.6968,57.373,49.0723,-0.6616,0.7524,0.2432,-197.4509,-95.8721,-409.9463
2592,54.3213,58.3496,53.2227,-0.6191,0.7441,0.2803,-197.4509,-95.8721,-409.9463
2593,56.6406,58.1665,63.7817,-0.5386,0.7329,0.333,-181.9645,-95.8721,-397.4288
2594,56.7627,57.7393,69.7632,-0.5112,0.7275,0.3467,-193.5793,-100.4374,-441.2399
2595,56.5796,55.3589,81.8481,-0.4731,0.7212,0.3784,-166.4782,-98.1548,-428.7225
2596,56.6406,53.0396,87.0361,-0.4673,0.7251,0.3789,-166.4782,-98.1548,-428.7225
2597,58.1665,47.7295,95.3979,-0.4575,0.7324,0.3555,-176.1571,-108.4268,-388.0407
2598,59.9365,45.0439,98.5718,-0.4492,0.7363,0.3335,-160.6708,-97.0134,-419.3344
2599,65.0635,40.1001,103.1494,-0.4243,0.7397,0.2817,-180.0287,-101.5788,-419.3344
2600,68.3594,38.0249,104.9194,-0.4092,0.7368,0.2402,-180.0287,-101.5788,-419.3344
2601,74.646,36.5601,108.8257,-0.3857,0.7422,0.1582,-158.735,-105.0028,-416.205
2602,77.5757,37.1704,111.4502,-0.375,0.7612,0.1221,-149.056,-106.1441,-425.5931
2603,84.4727,40.4663,119.5068,-0.3687,0.8262,0.0972,-156.7992,-103.8614,-394.2995
2604,89.0503,42.2974,124.5728,-0.3706,0.853,0.1113,-156.7992,-97.0134,-400.5582
2605,99.8535,44.4336,133.9111,-0.3975,0.8789,0.1616,-156.7992,-97.0134,-400.5582
2606,105.2246,44.9829,137.0239,-0.4146,0.8838,0.1836,-137.4413,-94.7307,-413.0756
2607,113.8306,46.0205,140.3809,-0.4487,0.8945,0.2241,-137.4413,-97.0134,-388.0407
2608,116.0278,46.875,140.7471,-0.4639,0.8882,0.2354,-150.9918,-98.1548,-397.4288
2609,115.7837,49.4995,140.2588,-0.4844,0.8818,0.2661,-150.9918,-98.1548,-397.4288
2610,113.5864,50.354,139.5264,-0.4854,0.8906,0.2764,-145.1845,-94.7307,-381.782
2611,108.5815,50.354,138.7329,-0.4521,0.8989,0.2896,-137.4413,-101.5788,-363.0059
2612,105.6519,49.1943,138.0005,-0.4253,0.9014,0.2881,-123.8907,-98.1548,-384.9114
2613,99.3652,44.3115,136.0474,-0.3667,0.9165,0.2373,-123.8907,-98.1548,-384.9114
2614,96.4355,41.3208,135.3149,-0.3501,0.9258,0.1973,-112.276,-102.7201,-366.1352
2615,93.8721,38.147,135.0098,-0.3457,0.9424,0.1519,-106.4686,-97.0134,-375.5233
2616,89.7217,32.959,135.9253,-0.3218,1.0127,0.0464,-106.4686,-99.2961,-363.0059
2617,89.8438,31.4941,136.7798,-0.333,1.0386,-0.0181,-106.4686,-99.2961,-363.0059
2618,92.1631,33.9355,137.3291,-0.374,1.0464,-0.1201,-94.8538,-87.8827,-381.782
2619,91.1255,37.5366,136.5356,-0.3887,1.0322,-0.1392,-89.0465,-91.3067,-372.394
2620,84.6558,44.1895,132.3853,-0.3916,0.9883,-0.1357,-83.2391,-90.1654,-356.7472
2621,80.5664,45.8984,129.7607,-0.376,0.9751,-0.1279,-83.2391,-90.1654,-356.7472
2622,73.1812,44.8608,124.2065,-0.314,0.9795,-0.1064,-92.918,-95.8721,-347.3591
2623,70.4346,41.9922,121.46,-0.2686,0.9902,-0.0947,-81.3033,-86.7414,-328.5829
2624,66.5894,32.7759,115.3564,-0.1685,1.0244,-0.0884,-75.4959,-87.8827,-369.2646
2625,65.5518,27.1606,111.3892,-0.127,1.0469,-0.084,-75.4959,-87.8827,-369.2646
2626,63.5376,13.7329,104.126,-0.061,1.0869,-0.0928,-71.6243,-94.7307,-369.2646
2627,63.7207,6.5918,101.0132,-0.0415,1.0967,-0.0864,-61.9454,-82.1761,-341.1004
2628,69.0308,-7.7515,96.4966,-0.0288,1.0879,-0.0366,-71.6243,-90.1654,-319.1949
2629,73.1201,-13.7939,93.8721,-0.0356,1.0537,-0.0151,-71.6243,-90.1654,-319.1949
2630,75.9888,-21.6675,84.6558,-0.0845,0.9849,0.0229,-65.8169,-84.4587,-309.8068
2631,73.6084,-23.4985,79.1016,-0.1118,0.9521,0.0298,-71.6243,-81.0347,-319.1949
2632,65.7349,-24.5361,67.8711,-0.1318,0.877,0.0151,-67.7527,-87.8827,-344.2297
2633,60.73,-24.5361,62.561,-0.1421,0.874,-0.0229,-67.7527,-87.8827,-344.2297
2634,55.603,-24.353,58.1055,-0.1636,0.8945,-0.0664,-69.6885,-79.8934,-316.0655
2635,47.2412,-22.3999,51.4526,-0.2251,0.8555,-0.1489,-54.2022,-84.4587,-316.0655
2636,44.8608,-21.6064,47.7905,-0.2451,0.8081,-0.168,-73.5601,-75.3281,-334.8416
2637,39.7339,-22.1558,38.269,-0.3003,0.7783,-0.1914,-73.5601,-75.3281,-334.8416
2638,38.147,-22.3999,33.0811,-0.3071,0.7646,-0.2065,-61.9454,-84.4587,-334.8416
2639,33.8745,-21.9727,22.0947,-0.2949,0.7422,-0.1997,-65.8169,-84.4587,-322.3242
2640,31.311,-21.1182,16.4185,-0.2803,0.7427,-0.1846,-52.2664,-87.8827,-331.7123
2641,25.1465,-18.1274,4.9438,-0.2485,0.7544,-0.1494,-52.2664,-87.8827,-331.7123
2642,21.9116,-16.3574,-0.1831,-0.2305,0.7573,-0.1245,-67.7527,-71.9041,-319.1949
2643,15.3198,-13.1836,-8.9111,-0.2026,0.7651,-0.0913,-54.2022,-91.3067,-309.8068
2644,12.146,-11.5967,-12.5732,-0.2021,0.7749,-0.0791,-56.138,-78.7521,-337.971
2645,5.7373,-7.9956,-18.9819,-0.2476,0.769,-0.0474,-56.138,-78.7521,-337.971
2646,2.3193,-5.7983,-22.4609,-0.2852,0.7563,-0.0264,-54.2022,-82.1761,-328.5829
2647,-5.127,-0.7935,-30.6396,-0.3618,0.749,-0.0278,-58.0738,-75.3281,-316.0655
2648,-9.0942,2.6245,-34.668,-0.3921,0.752,-0.0415,-73.5601,-91.3067,-316.0655
2649,-16.3574,11.2305,-41.5649,-0.4312,0.7788,-0.0703,-73.5601,-91.3067,-316.0655
2650,-18.9209,16.3574,-43.8843,-0.4351,0.7925,-0.0703,-73.5601,-86.7414,-322.3242
2651,-23.1323,27.1606,-46.936,-0.3711,0.8423,-0.0181,-63.8812,-83.3174,-344.2297
2652,-25.3906,32.2266,-47.7905,-0.293,0.8989,-0.0068,-40.6516,-92.4481,-325.4536
2653,-30.2124,41.5039,-45.8984,-0.1055,1.0503,-0.0781,-40.6516,-92.4481,-325.4536
2654,-32.4097,46.0815,-42.2974,-0.0312,1.1201,-0.1392,-58.0738,-77.6107,-334.8416
2655,-36.0107,55.1147,-32.5928,0.0801,1.2095,-0.2446,-71.6243,-83.3174,-325.4536
2656,-36.3159,57.8003,-27.1606,0.1279,1.2354,-0.3042,-67.7527,-83.3174,-325.4536
2657,-30.6396,59.5703,-18.7378,0.2017,1.3008,-0.4043,-67.7527,-83.3174,-325.4536
2658,-24.353,58.8989,-16.6626,0.2275,1.3208,-0.438,-63.8812,-94.7307,-337.971
2659,-16.6016,57.251,-16.9678,0.2441,1.3145,-0.4575,-44.5232,-94.7307,-312.9361
2660,-1.0376,50.0488,-25.4517,0.2212,1.2939,-0.3843,-83.2391,-92.4481,-337.971
2661,5.127,42.9688,-31.6162,0.166,1.2744,-0.335,-83.2391,-92.4481,-337.971
2662,12.2681,31.0669,-44.4336,0.0283,1.1973,-0.2344,-58.0738,-91.3067,-322.3242
2663,10.0708,27.5879,-49.1943,-0.0234,1.1714,-0.1572,-75.4959,-97.0134,-312.9361
2664,-1.5259,25.4517,-52.7954,-0.0513,1.1191,0.0112,-73.5601,-100.4374,-322.3242
2665,-10.376,24.7803,-52.2461,-0.0059,1.0889,0.0854,-73.5601,-100.4374,-322.3242
2666,-28.5034,19.2871,-49.3774,0.1426,1.0562,0.1045,-73.5601,-95.8721,-341.1004
2667,-34.668,14.5264,-47.7905,0.1802,1.084,0.0254,-75.4959,-101.5788,-306.6774
2668,-39.1235,1.709,-43.396,0.1621,1.1597,-0.1987,-87.1107,-101.5788,-319.1949
2669,-34.2407,-6.2256,-41.687,0.1011,1.186,-0.312,-87.1107,-101.5788,-319.1949
2670,-10.5591,-21.6675,-38.9404,-0.0537,1.1357,-0.4058,-71.6243,-99.2961,-306.6774
2671,1.2207,-26.6113,-37.9028,-0.1196,1.0557,-0.3267,-83.2391,-94.7307,-325.4536
2672,8.2397,-28.9307,-36.0718,-0.2187,0.8755,-0.1758,-94.8538,-99.2961,-344.2297
2673,2.9907,-25.9399,-35.1563,-0.2598,0.7974,-0.1445,-96.7896,-100.4374,-353.6178
2674,-13.1226,-15.0146,-34.8511,-0.3384,0.7109,-0.1421,-96.7896,-100.4374,-353.6178
2675,-19.043,-10.5591,-35.5835,-0.3584,0.7251,-0.1528,-90.9823,-101.5788,-356.7472
2676,-20.5688,-8.4839,-39.2456,-0.3203,0.811,-0.2285,-79.3675,-99.2961,-312.9361
2677,-17.0288,-8.9111,-40.6494,-0.2646,0.8667,-0.2559,-77.4317,-98.1548,-341.1004
2678,-8.0566,-8.9111,-39.0625,-0.1548,0.9292,-0.2017,-77.4317,-98.1548,-341.1004
2679,-5.127,-8.5449,-36.8652,-0.1313,0.9263,-0.1362,-94.8538,-99.2961,-319.1949
2680,-4.3945,-8.1787,-32.7759,-0.1626,0.8887,-0.0464,-102.597,-103.8614,-344.2297
2681,-6.2256,-7.8125,-31.3721,-0.1992,0.8652,-0.0449,-110.3402,-106.1441,-337.971
2682,-10.376,-6.5918,-30.6396,-0.2798,0.8594,-0.0815,-110.3402,-106.1441,-337.971
2683,-11.4746,-5.6763,-31.311,-0.3027,0.8813,-0.1084,-90.9823,-108.4268,-344.2297
2684,-10.7422,-2.7466,-33.1421,-0.2891,0.9424,-0.1504,-96.7896,-100.4374,-341.1004
2685,-9.8267,-0.4883,-33.5693,-0.2646,0.9653,-0.1558,-87.1107,-94.7307,-344.2297
2686,-7.6904,3.8452,-33.5083,-0.2129,0.9951,-0.1299,-87.1107,-94.7307,-344.2297
2687,-7.019,5.6763,-33.2642,-0.1963,0.9937,-0.1157,-85.1749,-105.0028,-353.6178
2688,-7.019,8.667,-33.2031,-0.1753,0.9736,-0.1108,-106.4686,-103.8614,-350.4885
2689,-7.9346,9.6436,-33.4473,-0.1743,0.9751,-0.1284,-102.597,-103.8614,-312.9361
2690,-10.437,11.8408,-33.5693,-0.1899,0.9917,-0.1826,-102.597,-103.8614,-312.9361
2691,-11.4136,13.1226,-33.6914,-0.2021,1.0088,-0.2085,-106.4686,-106.1441,-356.7472
2692,-11.9629,16.0522,-34.1187,-0.2192,1.0146,-0.2607,-90.9823,-110.7094,-325.4536
2693,-12.146,17.5171,-34.3018,-0.2236,1.0088,-0.2891,-100.6612,-105.0028,-347.3591
2694,-12.2681,20.1416,-34.9731,-0.2227,0.9897,-0.3208,-104.5328,-107.2854,-353.6178
2695,-12.3901,20.3857,-35.3394,-0.2109,0.9858,-0.3247,-104.5328,-107.2854,-353.6178
2696,-12.5122,17.8833,-35.7666,-0.1694,0.9829,-0.3247,-125.8265,-106.1441,-331.7123
2697,-12.3291,15.1978,-35.5835,-0.1416,0.9849,-0.3213,-114.2118,-106.1441,-331.7123
2698,-12.0239,8.4229,-34.79,-0.0947,0.9976,-0.29,-121.9549,-101.5788,-350.4885
2699,-11.9019,4.5166,-33.9966,-0.0811,0.999,-0.2734,-121.9549,-101.5788,-350.4885
2700,-12.0239,-3.418,-32.1655,-0.0898,0.9829,-0.2559,-106.4686,-108.4268,-350.4885
2701,-12.207,-7.3853,-31.311,-0.1162,0.9814,-0.2583,-112.276,-107.2854,-341.1004
2702,-12.6343,-13.5498,-29.8462,-0.1875,0.9766,-0.2637,-110.3402,-106.1441,-325.4536
2703,-12.7563,-15.686,-29.48,-0.2158,0.9722,-0.2617,-110.3402,-106.1441,-363.0059
2704,-12.085,-18.6157,-29.9683,-0.2534,0.9814,-0.2676,-110.3402,-106.1441,-363.0059
2705,-12.2681,-20.6299,-29.541,-0.2549,0.9653,-0.2476,-120.0191,-109.5681,-334.8416
2706,-12.7563,-21.6064,-29.2358,-0.251,0.9692,-0.2378,-120.0191,-107.2854,-353.6178
2707,-12.8174,-23.1934,-28.3203,-0.2407,0.9775,-0.2046,-114.2118,-115.2748,-363.0059
2708,-12.5122,-23.6206,-27.832,-0.2354,0.9741,-0.1821,-125.8265,-110.7094,-363.0059
2709,-11.0474,-24.9023,-26.5503,-0.2407,0.9419,-0.1392,-125.8265,-110.7094,-363.0059
2710,-10.7422,-25.5127,-26.001,-0.2529,0.9175,-0.1221,-127.7623,-105.0028,-334.8416
2711,-11.2915,-25.8179,-25.0854,-0.2896,0.8896,-0.105,-104.5328,-107.2854,-347.3591
2712,-12.2681,-25.7568,-24.9634,-0.3062,0.8843,-0.0996,-129.6981,-110.7094,-363.0059
2713,-14.1602,-24.5972,-25.3296,-0.3286,0.8994,-0.1201,-129.6981,-110.7094,-363.0059
2714,-14.2212,-21.5454,-25.8789,-0.3379,0.9214,-0.1323,-116.1476,-102.7201,-378.6526
